Gene Symbol	KO1	KO2	KO3	KO4	KO5	WT1	WT2	WT3	WT4	WT5
Stmn1	360.6	319.7	270.9	439.8	380.1	232.3	269.3	340.5	289.6	370.6
Eva1a	377.8	380.6	306.5	432.9	325.4	235	307.9	482.2	258.2	262.9
Dek	834.9	647.6	661.5	775.5	837.3	451.6	665	835.3	521.8	658.7
Mrpl40	624.3	541.8	435	727.4	525.8	329.9	442.4	614.3	409.6	484.7
Tbcd	101.5	94.6	80	135.3	82.1	51.9	78.1	118.3	72.4	76
Smim14	26.8	24	21.4	37.9	24.5	14.2	21.2	35.4	19.4	28.4
Sod1	12521.8	13043.2	9103.1	19278.3	10793.1	6914.2	10459.2	19507.3	9116.7	9230
Apoc2	204.3	201.1	167.1	302.3	246.1	129.2	163.2	246.5	161.1	209.3
Cdv3	2770	2946.3	2208.7	3632	2707	1570	2355.3	4296.6	2126	2485.6
Fabp5	467.1	591.5	326.2	762.3	434.7	312.1	382.8	667.5	399.9	316.9
Golga3	425.4	458.3	385.1	509	499.5	284.3	370.6	533.6	295.1	373.1
Alcam	4454.5	4002.8	2913.9	4714.5	4227.5	2188.4	3374.4	4443.9	2580.7	3573.4
R3hdm4	131.9	141.2	109.9	181.5	139.3	88.2	109.8	164.5	101.5	121.3
Amfr	68.6	67.8	65.4	90.8	76.9	49.5	58.3	67.7	59.7	68.5
Ndufb2	162.4	157.7	120.5	230.9	137.3	96.5	123.9	186.4	103.3	120.8
Idh3a	5785.4	5891.6	4343.2	7289	4783	3605.9	5044.3	7449	3725.3	3870.2
Mmab	440.2	445.5	353.6	588.4	442.9	292.8	364.5	583.9	331.5	387.2
Tpm1	568	533.2	423.8	775.4	549.8	330.9	359.8	530.7	429.5	557.7
Fcgr2b	1066.8	870.6	626	1119.6	688.5	521.7	586.8	759	629.6	736.7
Glyr1	222.9	186.5	180.5	267.2	216.2	144.7	176.3	172.1	169	205.1
Ckap5	143.5	143.7	177.8	153.9	198	96.2	118.6	129.8	131.7	116.7
Etfrf1	1127.6	1053	845.9	1284.7	915.5	650.8	851.6	1417.7	675.4	824.7
Tpm1	1951.2	1782	1565.3	2690.5	2021.4	1308.1	1376.5	2041.3	1507.8	1948.2
AFP	4393.1	4638.2	3117.8	6720.9	3771.4	2317.2	4819	7051	3360.5	3081
Shtn1	1114.2	1177.9	829.3	1469.6	1180	699.1	954.1	1258.3	882.6	1032.8
Coa6	708	663.3	544	887.8	654.7	434.1	517.3	794.4	502.8	582.3
Ndufv3	2121.6	2361	1574.9	3011.9	2176.6	1261.2	1895	2734.2	1518.5	1767
Rpl22l1	385.2	464.5	234.2	523.8	320.6	248.5	339.4	474.3	368	277.9
Scaf11	413.9	378.9	331.5	501.8	403.3	255.9	351.5	475.3	285.2	366.6
Sdc1	41.2	53.8	43.7	59.2	47.3	30.7	42.6	51.1	37.7	46.2
Acbd5	4516.5	4660.1	3508.9	5459.4	4626.6	2811.4	3927.7	6135.7	3506.1	4156.8
Dap	472.4	542	399.9	592	585.8	277	425.9	561.7	322.9	499.3
H2bc26	1127.8	1084.2	709	1356.9	802.7	666.7	942.7	1284.8	713.4	732.9
Hnrnpul1	89.3	106.1	66.7	113.5	89.2	55.1	78.9	81.1	79	82.8
APOA2	1151.1	1173.9	824.3	1471.5	1163.8	700.1	1015.3	1577.2	848.7	1074.5
Napg	1233.3	1362	1049.7	1540.2	1950.7	786.2	1083.6	1554.7	989.6	1202.3
Itgb1	3684.4	3366.4	2389.9	4570.7	3288.6	2186.7	2742.1	3737.3	2423.8	2914.3
Pbdc1	67.7	73.7	43	83.9	64.7	31.7	59.6	89.9	48.3	66.4
Dnajc9	72.1	87	69.8	109.3	91.2	53.9	63.9	100.5	62.3	76.5
Nhp2	623.1	632.3	454.7	808.2	497.6	382.3	522.5	779.5	458.4	441.3
Hpcal1	1403.5	1378.3	1058.5	1708.6	1410.4	938.2	1066.6	1527.6	1032.5	1290.1
Tpt1	3500.9	3717.6	2446.7	4214.4	3084	1934.5	2951	4842.5	2705.6	3010
Czib	1315.9	1440.3	917.9	1620.8	1320.2	782.3	1097.5	1866.9	1046.8	1221.2
